CustomerID,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
708082083,TX001313,AC00001,47.79,2023-09-15 17:00:20,Debit,Denver,D000649,59.12.96.11,M034,Branch,37,1,1649.92,2024-11-04 08:11:55
708082083,TX002017,AC00001,212.97,2023-11-14 16:56:34,Debit,Atlanta,D000492,45.241.13.208,M003,Online,178,1,4180.4,2024-11-04 08:10:42
708083283,TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,38,1,5750.89,2024-11-04 08:09:24
708083283,TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,227,2,4175.02,2024-11-04 08:11:03
708083283,TX001029,AC00002,516.47,2023-12-21 17:00:50,Credit,Charlotte,D000420,59.132.247.252,M026,ATM,94,1,1305.06,2024-11-04 08:09:51
708083283,TX001477,AC00002,12.62,2023-05-05 16:35:44,Debit,El Paso,D000475,93.160.83.196,M068,Branch,61,1,6420.47,2024-11-04 08:09:03
708083283,TX001599,AC00002,395.16,2023-07-24 16:14:05,Debit,Milwaukee,D000269,165.38.56.205,M059,Online,17,1,5340.73,2024-11-04 08:11:15
708083283,TX001674,AC00002,331.66,2023-09-11 17:52:59,Debit,Las Vegas,D000041,1.198.76.182,M040,ATM,145,1,7216.3,2024-11-04 08:08:23
708083283,TX002121,AC00002,476.99,2023-01-10 16:00:32,Debit,San Diego,D000594,113.137.153.101,M022,Online,187,1,1154.48,2024-11-04 08:10:10
708084558,TX001841,AC00003,237.97,2023-01-09 17:26:46,Debit,Columbus,D000498,170.154.69.105,M089,ATM,69,1,13486.15,2024-11-04 08:06:37
708084558,TX001904,AC00003,384.11,2023-05-15 16:35:43,Debit,Fort Worth,D000290,194.88.79.54,M032,ATM,12,1,7902.52,2024-11-04 08:06:36
708084558,TX002248,AC00003,207.47,2023-10-02 18:57:19,Debit,Miami,D000643,147.234.20.46,M045,ATM,12,1,1688.9,2024-11-04 08:07:01
708084558,TX002326,AC00003,20.17,2023-01-02 16:45:05,Debit,San Antonio,D000287,221.23.158.87,M088,ATM,86,1,3869.37,2024-11-04 08:08:39
708084558,TX002363,AC00003,416.62,2023-03-06 17:26:59,Credit,Baltimore,D000495,161.195.172.148,M091,Online,67,1,9700.9,2024-11-04 08:11:23
708085458,TX000223,AC00004,547.87,2023-07-10 17:15:27,Debit,Columbus,D000183,188.205.152.176,M064,ATM,131,1,6155.76,2024-11-04 08:10:31
708085458,TX000245,AC00004,40.66,2024-01-01 16:08:49,Debit,Louisville,D000214,148.25.159.90,M061,Branch,156,1,1153.84,2024-11-04 08:11:28
708085458,TX000707,AC00004,642.54,2023-05-10 18:49:20,Debit,Milwaukee,D000663,166.79.195.157,M025,Branch,28,1,3143.17,2024-11-04 08:10:37
708085458,TX001648,AC00004,99.25,2023-06-26 16:53:58,Credit,Phoenix,D000524,17.87.7.140,M048,Online,93,1,2570.34,2024-11-04 08:07:33
708085458,TX001820,AC00004,365.43,2023-11-23 16:51:06,Debit,Portland,D000146,136.172.149.77,M014,ATM,176,1,1073.51,2024-11-04 08:09:24
708085458,TX001851,AC00004,13.16,2023-05-01 17:36:10,Debit,Mesa,D000098,161.177.41.214,M084,Branch,98,1,1019.46,2024-11-04 08:10:30
708085458,TX002328,AC00004,273.24,2023-12-12 16:56:18,Debit,Fresno,D000626,211.45.75.44,M011,Branch,173,1,2202.21,2024-11-04 08:10:05
708085458,TX002391,AC00004,136.31,2023-10-30 16:38:14,Debit,Nashville,D000405,6.234.101.35,M055,Online,65,1,4384.95,2024-11-04 08:08:41
708085458,TX002442,AC00004,61.62,2023-10-09 16:01:25,Debit,Miami,D000134,93.218.115.132,M066,Online,19,1,8365.37,2024-11-04 08:12:02
708086958,TX000195,AC00005,488.54,2023-07-03 17:47:49,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,132,1,7486.63,2024-11-04 08:07:26
